status,county_by_farmsize,deficit,diff,farms_by_size,lambda0,tot_farms,tot_heads
gaps,False,1538.0,1552.0,False,109.85714285714286,65.0,2899.0
ignored,,,,,,,
gaps,False,3871.0,3885.0,False,276.5,99.0,6920.0
ignored,,,,,,,
no gaps,,,,,,3.0,75.0
ignored,,,,,,,
gaps,True,1479.0,1482.0,True,107.33333333333333,2456.0,79185.0
ignored,,,,,,,
gaps,False,191188.0,191209.0,False,9104.190476190477,695.0,8486069.0
ignored,,,,,,,
gaps,True,226526.0,226559.0,True,511.6363636363636,17214.0,858556.0
gaps,True,45858.0,45891.0,True,4547.0,1016.0,238087.0
no gaps,,,,,,19274.0,2421162.0
ignored,,,,,,,
gaps,False,1683.5714285714287,1689.5714285714284,False,280.5952380952381,12.0,1711.5714285714287
ignored,,,,,,,
gaps,False,1514030.0,1514048.9999999995,False,79685.78947368421,782.0,2914861.0
ignored,,,,,,,
gaps,False,35048488.0,35048513.0,True,1597608.0999999999,5352.0,43137355.0
ignored,,,,,,,
gaps,False,13660675.0,13660707.0,False,426896.09375,669.0,14559246.0
ignored,,,,,,,
gaps,False,29677.0,29699.0,False,1348.9545454545455,610.0,88735.0
ignored,,,,,,,
gaps,False,12659.0,12675.999999999996,False,744.6470588235294,663.0,21305.0
ignored,,,,,,,
gaps,False,31.0,40.0,False,3.4444444444444446,22.0,56.0
ignored,,,,,,,
gaps,False,276.0,301.0,False,11.04,295.0,1720.0
ignored,,,,,,,
gaps,False,442.0,467.0000000000018,False,17.68,318.0,15235.0
ignored,,,,,,,
gaps,True,91399.0,91403.0,True,21494.0,5253.0,23808603.0
ignored,,,,,,,
gaps,False,73.0,75.0,False,36.5,3.0,73.0
ignored,,,,,,,
gaps,False,671.0,698.0,False,24.85185185185185,158.0,2097.0
ignored,,,,,,,
gaps,False,25413.0,25434.0,False,1210.142857142857,59.0,35420.0
ignored,,,,,,,
gaps,False,1234.0,1257.0000000000002,False,53.65217391304348,43.0,1794.0
ignored,,,,,,,
gaps,False,1099.6153846153845,1101.6153846153845,False,549.8076923076923,2.0,1099.6153846153845
ignored,,,,,,,
gaps,False,65587.0,65613.0,False,2522.5769230769233,65.0,76655.0
ignored,,,,,,,
gaps,True,1979.0,1982.0,True,685.0,2482.0,156013.0
ignored,,,,,,,
gaps,False,548572.0,548602.0,False,18285.733333333334,444.0,5069831.0
ignored,,,,,,,
gaps,True,359462.0,359496.00000000023,True,846.6176470588234,19848.0,1332657.0
gaps,True,68913.0,68947.0,True,4497.923076923077,501.0,176106.0
gaps,True,86469.0,86471.0,True,78809.0,19544.0,4617639.0
ignored,,,,,,,
gaps,False,46288.0,46293.0,False,9257.6,27.0,59158.0
ignored,,,,,,,
gaps,False,5586.0,5619.0,False,169.27272727272728,380.0,19300.0
ignored,,,,,,,
gaps,False,1771686.0,1771690.0,True,1540457.0,4371.0,2025646.0
ignored,,,,,,,
